pip_value estimasi: 9.0 (override dengan --pipval)

Backtest: USDJPY | step=4 | trail=OFF
CSV: ../data/USDJPY_GMT+0_NO-DST_M15.csv
  139,666 candle M15 | 2020-01-01 22:00:00 s/d 2025-08-11 23:45:00
Estimasi 34,854 iterasi sinyal. Ini mungkin butuh beberapa menit...

Resampling ke H4 dan D1... H4=9,025 bars | D1=1,750 bars
    0.8% | bar=1,334/139,666 | trades=10 | equity=$1,039.29 | ETA=16.5min
   53.5% | bar=74,870/139,666 | trades=1070 | equity=$2,950.43 | ETA=7.3min
   53.5% | bar=74,878/139,666 | trades=1070 | equity=$2,950.43 | ETA=7.3min
   53.5% | bar=74,882/139,666 | trades=1070 | equity=$2,950.43 | ETA=7.3min
   53.5% | bar=74,886/139,666 | trades=1070 | equity=$2,950.43 | ETA=7.3min
   53.5% | bar=74,890/139,666 | trades=1070 | equity=$2,950.43 | ETA=7.3min
   53.5% | bar=74,894/139,666 | trades=1070 | equity=$2,950.43 | ETA=7.3min
   53.6% | bar=74,966/139,666 | trades=1070 | equity=$2,950.43 | ETA=7.3min
   53.6% | bar=74,970/139,666 | trades=1070 | equity=$2,950.43 | ETA=7.3min
   53.6% | bar=74,974/139,666 | trades=1070 | equity=$2,950.43 | ETA=7.3min
   53.6% | bar=74,978/139,666 | trades=1070 | equity=$2,950.43 | ETA=7.3min
   54.0% | bar=75,522/139,666 | trades=1080 | equity=$3,095.90 | ETA=7.2min
   54.7% | bar=76,446/139,666 | trades=1090 | equity=$3,148.33 | ETA=7.1min
   54.7% | bar=76,450/139,666 | trades=1090 | equity=$3,148.33 | ETA=7.1min
   55.0% | bar=76,982/139,666 | trades=1100 | equity=$3,197.77 | ETA=7.1min
   55.0% | bar=76,990/139,666 | trades=1100 | equity=$3,197.77 | ETA=7.1min
   55.0% | bar=76,994/139,666 | trades=1100 | equity=$3,197.77 | ETA=7.1min
   55.0% | bar=76,998/139,666 | trades=1100 | equity=$3,197.77 | ETA=7.1min
   55.1% | bar=77,018/139,666 | trades=1100 | equity=$3,197.77 | ETA=7.0min
   55.1% | bar=77,022/139,666 | trades=1100 | equity=$3,197.77 | ETA=7.0min
   55.1% | bar=77,026/139,666 | trades=1100 | equity=$3,197.77 | ETA=7.0min
   55.1% | bar=77,030/139,666 | trades=1100 | equity=$3,197.77 | ETA=7.0min
   55.1% | bar=77,066/139,666 | trades=1100 | equity=$3,197.77 | ETA=7.0min
   55.5% | bar=77,614/139,666 | trades=1110 | equity=$3,188.24 | ETA=7.0min
   55.5% | bar=77,622/139,666 | trades=1110 | equity=$3,188.24 | ETA=7.0min
   56.1% | bar=78,478/139,666 | trades=1120 | equity=$3,176.15 | ETA=6.9min
   56.8% | bar=79,466/139,666 | trades=1130 | equity=$3,217.94 | ETA=6.8min
   56.8% | bar=79,470/139,666 | trades=1130 | equity=$3,217.94 | ETA=6.8min
   56.8% | bar=79,474/139,666 | trades=1130 | equity=$3,217.94 | ETA=6.8min
   56.8% | bar=79,482/139,666 | trades=1130 | equity=$3,217.94 | ETA=6.8min
   56.8% | bar=79,486/139,666 | trades=1130 | equity=$3,217.94 | ETA=6.8min
   56.8% | bar=79,490/139,666 | trades=1130 | equity=$3,217.94 | ETA=6.8min
   57.4% | bar=80,250/139,666 | trades=1140 | equity=$3,236.03 | ETA=6.7min
   57.4% | bar=80,258/139,666 | trades=1140 | equity=$3,236.03 | ETA=6.7min
   57.4% | bar=80,262/139,666 | trades=1140 | equity=$3,236.03 | ETA=6.7min
   57.4% | bar=80,306/139,666 | trades=1140 | equity=$3,236.03 | ETA=6.7min
   57.4% | bar=80,314/139,666 | trades=1140 | equity=$3,236.03 | ETA=6.7min
   57.4% | bar=80,318/139,666 | trades=1140 | equity=$3,236.03 | ETA=6.7min
   57.8% | bar=80,818/139,666 | trades=1150 | equity=$3,244.53 | ETA=6.7min
   58.1% | bar=81,262/139,666 | trades=1160 | equity=$3,233.11 | ETA=6.6min
   58.4% | bar=81,670/139,666 | trades=1170 | equity=$3,224.15 | ETA=6.6min
   58.4% | bar=81,678/139,666 | trades=1170 | equity=$3,224.15 | ETA=6.6min
   58.7% | bar=82,078/139,666 | trades=1180 | equity=$3,212.86 | ETA=6.5min
   58.7% | bar=82,082/139,666 | trades=1180 | equity=$3,212.86 | ETA=6.5min
   58.7% | bar=82,086/139,666 | trades=1180 | equity=$3,212.86 | ETA=6.5min
   58.7% | bar=82,090/139,666 | trades=1180 | equity=$3,212.86 | ETA=6.5min
   58.7% | bar=82,146/139,666 | trades=1180 | equity=$3,212.86 | ETA=6.5min
   58.9% | bar=82,398/139,666 | trades=1190 | equity=$3,142.85 | ETA=6.5min
   58.9% | bar=82,402/139,666 | trades=1190 | equity=$3,142.85 | ETA=6.5min
   59.5% | bar=83,146/139,666 | trades=1200 | equity=$3,210.73 | ETA=6.4min
   59.5% | bar=83,150/139,666 | trades=1200 | equity=$3,210.73 | ETA=6.4min
   59.6% | bar=83,278/139,666 | trades=1200 | equity=$3,210.73 | ETA=6.4min
   59.6% | bar=83,282/139,666 | trades=1200 | equity=$3,210.73 | ETA=6.4min
   59.6% | bar=83,286/139,666 | trades=1200 | equity=$3,210.73 | ETA=6.4min
   60.0% | bar=83,958/139,666 | trades=1210 | equity=$3,256.52 | ETA=6.3min
   60.4% | bar=84,494/139,666 | trades=1220 | equity=$3,323.33 | ETA=6.2min
   60.7% | bar=84,922/139,666 | trades=1230 | equity=$3,342.53 | ETA=6.2min
   61.1% | bar=85,430/139,666 | trades=1240 | equity=$3,304.63 | ETA=6.1min
   61.7% | bar=86,254/139,666 | trades=1250 | equity=$3,287.77 | ETA=6.0min
   61.7% | bar=86,258/139,666 | trades=1250 | equity=$3,287.77 | ETA=6.0min
   61.9% | bar=86,494/139,666 | trades=1260 | equity=$3,247.80 | ETA=6.0min
   61.9% | bar=86,498/139,666 | trades=1260 | equity=$3,247.80 | ETA=6.0min
   61.9% | bar=86,510/139,666 | trades=1260 | equity=$3,247.80 | ETA=6.0min
   61.9% | bar=86,514/139,666 | trades=1260 | equity=$3,247.80 | ETA=6.0min
   61.9% | bar=86,518/139,666 | trades=1260 | equity=$3,247.80 | ETA=6.0min
   62.3% | bar=87,062/139,666 | trades=1270 | equity=$3,328.36 | ETA=5.9min
   62.6% | bar=87,530/139,666 | trades=1280 | equity=$3,378.91 | ETA=5.9min
   62.9% | bar=87,978/139,666 | trades=1290 | equity=$3,445.09 | ETA=5.8min
   63.2% | bar=88,346/139,666 | trades=1300 | equity=$3,462.78 | ETA=5.8min
   63.5% | bar=88,814/139,666 | trades=1310 | equity=$3,394.67 | ETA=5.8min
   63.5% | bar=88,818/139,666 | trades=1310 | equity=$3,394.67 | ETA=5.8min
   64.0% | bar=89,522/139,666 | trades=1320 | equity=$3,468.12 | ETA=5.7min
   64.1% | bar=89,574/139,666 | trades=1320 | equity=$3,468.12 | ETA=5.7min
   64.5% | bar=90,146/139,666 | trades=1330 | equity=$3,577.91 | ETA=5.6min
   64.5% | bar=90,150/139,666 | trades=1330 | equity=$3,577.91 | ETA=5.6min
   64.5% | bar=90,154/139,666 | trades=1330 | equity=$3,577.91 | ETA=5.6min
   64.5% | bar=90,162/139,666 | trades=1330 | equity=$3,577.91 | ETA=5.6min
   64.5% | bar=90,166/139,666 | trades=1330 | equity=$3,577.91 | ETA=5.6min
   64.6% | bar=90,258/139,666 | trades=1330 | equity=$3,577.91 | ETA=5.6min
   65.1% | bar=91,010/139,666 | trades=1340 | equity=$3,596.60 | ETA=5.5min
   65.7% | bar=91,814/139,666 | trades=1350 | equity=$3,607.90 | ETA=5.4min
   66.0% | bar=92,266/139,666 | trades=1360 | equity=$3,658.96 | ETA=5.4min
   66.0% | bar=92,270/139,666 | trades=1360 | equity=$3,658.96 | ETA=5.4min
   66.0% | bar=92,274/139,666 | trades=1360 | equity=$3,658.96 | ETA=5.4min
   66.0% | bar=92,278/139,666 | trades=1360 | equity=$3,658.96 | ETA=5.4min
   66.0% | bar=92,282/139,666 | trades=1360 | equity=$3,658.96 | ETA=5.4min
   66.0% | bar=92,334/139,666 | trades=1360 | equity=$3,658.96 | ETA=5.4min
   66.5% | bar=92,986/139,666 | trades=1370 | equity=$3,677.92 | ETA=5.3min
   67.9% | bar=94,918/139,666 | trades=1380 | equity=$3,671.01 | ETA=5.0min
   67.9% | bar=94,922/139,666 | trades=1380 | equity=$3,671.01 | ETA=5.0min
   67.9% | bar=94,926/139,666 | trades=1380 | equity=$3,671.01 | ETA=5.0min
   67.9% | bar=94,930/139,666 | trades=1380 | equity=$3,671.01 | ETA=5.0min
   67.9% | bar=94,946/139,666 | trades=1380 | equity=$3,671.01 | ETA=5.0min
   68.3% | bar=95,534/139,666 | trades=1390 | equity=$3,712.73 | ETA=4.9min
   69.0% | bar=96,474/139,666 | trades=1400 | equity=$3,815.49 | ETA=4.8min
   69.0% | bar=96,482/139,666 | trades=1400 | equity=$3,815.49 | ETA=4.8min
   69.0% | bar=96,490/139,666 | trades=1400 | equity=$3,815.49 | ETA=4.8min
   69.0% | bar=96,494/139,666 | trades=1400 | equity=$3,815.49 | ETA=4.8min
   69.0% | bar=96,498/139,666 | trades=1400 | equity=$3,815.49 | ETA=4.8min
   69.4% | bar=96,950/139,666 | trades=1410 | equity=$3,853.65 | ETA=4.8min
   69.4% | bar=96,958/139,666 | trades=1410 | equity=$3,853.65 | ETA=4.8min
   69.8% | bar=97,518/139,666 | trades=1420 | equity=$3,876.75 | ETA=4.7min
   69.8% | bar=97,522/139,666 | trades=1420 | equity=$3,876.75 | ETA=4.7min
   70.1% | bar=98,006/139,666 | trades=1430 | equity=$3,866.11 | ETA=4.7min
   70.1% | bar=98,010/139,666 | trades=1430 | equity=$3,866.11 | ETA=4.7min
   70.6% | bar=98,742/139,666 | trades=1440 | equity=$3,881.12 | ETA=4.6min
   70.6% | bar=98,746/139,666 | trades=1440 | equity=$3,881.12 | ETA=4.6min
   70.7% | bar=98,754/139,666 | trades=1440 | equity=$3,881.12 | ETA=4.6min
   70.7% | bar=98,762/139,666 | trades=1440 | equity=$3,881.12 | ETA=4.6min
   70.7% | bar=98,770/139,666 | trades=1440 | equity=$3,881.12 | ETA=4.6min
   70.7% | bar=98,778/139,666 | trades=1440 | equity=$3,881.12 | ETA=4.6min
   70.7% | bar=98,782/139,666 | trades=1440 | equity=$3,881.12 | ETA=4.6min
   70.7% | bar=98,790/139,666 | trades=1440 | equity=$3,881.12 | ETA=4.6min
   70.7% | bar=98,826/139,666 | trades=1440 | equity=$3,881.12 | ETA=4.6min
   70.7% | bar=98,830/139,666 | trades=1440 | equity=$3,881.12 | ETA=4.6min
   70.7% | bar=98,858/139,666 | trades=1440 | equity=$3,881.12 | ETA=4.6min
   71.2% | bar=99,466/139,666 | trades=1450 | equity=$3,867.42 | ETA=4.5min
   71.6% | bar=100,014/139,666 | trades=1460 | equity=$3,910.40 | ETA=4.4min
   71.6% | bar=100,030/139,666 | trades=1460 | equity=$3,910.40 | ETA=4.4min
   71.6% | bar=100,034/139,666 | trades=1460 | equity=$3,910.40 | ETA=4.4min
   71.6% | bar=100,050/139,666 | trades=1460 | equity=$3,910.40 | ETA=4.4min
   72.1% | bar=100,722/139,666 | trades=1470 | equity=$3,959.44 | ETA=4.3min
   72.3% | bar=100,982/139,666 | trades=1480 | equity=$4,008.57 | ETA=4.3min
   72.6% | bar=101,490/139,666 | trades=1490 | equity=$4,085.36 | ETA=4.2min
   73.0% | bar=101,974/139,666 | trades=1500 | equity=$3,985.83 | ETA=4.2min
   73.0% | bar=101,998/139,666 | trades=1500 | equity=$3,985.83 | ETA=4.2min
   73.5% | bar=102,738/139,666 | trades=1510 | equity=$4,029.86 | ETA=4.1min
   73.9% | bar=103,266/139,666 | trades=1520 | equity=$4,050.81 | ETA=4.0min
   73.9% | bar=103,270/139,666 | trades=1520 | equity=$4,050.81 | ETA=4.0min
   73.9% | bar=103,274/139,666 | trades=1520 | equity=$4,050.81 | ETA=4.0min
   74.1% | bar=103,610/139,666 | trades=1530 | equity=$4,037.68 | ETA=4.0min
   74.1% | bar=103,618/139,666 | trades=1530 | equity=$4,037.68 | ETA=4.0min
   74.2% | bar=103,642/139,666 | trades=1530 | equity=$4,037.68 | ETA=4.0min
   74.2% | bar=103,662/139,666 | trades=1530 | equity=$4,037.68 | ETA=4.0min
   74.2% | bar=103,670/139,666 | trades=1530 | equity=$4,037.68 | ETA=4.0min
   74.2% | bar=103,674/139,666 | trades=1530 | equity=$4,037.68 | ETA=4.0min
   74.7% | bar=104,418/139,666 | trades=1540 | equity=$4,056.72 | ETA=3.9min
   75.0% | bar=104,750/139,666 | trades=1550 | equity=$4,045.43 | ETA=3.9min
   75.0% | bar=104,754/139,666 | trades=1550 | equity=$4,045.43 | ETA=3.9min
   75.4% | bar=105,378/139,666 | trades=1560 | equity=$4,065.85 | ETA=3.8min
   76.1% | bar=106,294/139,666 | trades=1570 | equity=$4,085.66 | ETA=3.7min
   76.4% | bar=106,742/139,666 | trades=1580 | equity=$4,131.10 | ETA=3.7min
   76.9% | bar=107,470/139,666 | trades=1590 | equity=$4,115.00 | ETA=3.6min
   77.2% | bar=107,930/139,666 | trades=1600 | equity=$4,163.12 | ETA=3.5min
   77.2% | bar=107,934/139,666 | trades=1600 | equity=$4,163.12 | ETA=3.5min
   77.2% | bar=107,942/139,666 | trades=1600 | equity=$4,163.12 | ETA=3.5min
   77.2% | bar=107,946/139,666 | trades=1600 | equity=$4,163.12 | ETA=3.5min
   77.3% | bar=107,950/139,666 | trades=1600 | equity=$4,163.12 | ETA=3.5min
   77.3% | bar=107,958/139,666 | trades=1600 | equity=$4,163.12 | ETA=3.5min
   77.3% | bar=107,966/139,666 | trades=1600 | equity=$4,163.12 | ETA=3.5min
   77.6% | bar=108,498/139,666 | trades=1610 | equity=$4,155.10 | ETA=3.5min
   78.1% | bar=109,114/139,666 | trades=1620 | equity=$4,171.96 | ETA=3.4min
   78.1% | bar=109,118/139,666 | trades=1620 | equity=$4,171.96 | ETA=3.4min
   78.2% | bar=109,266/139,666 | trades=1620 | equity=$4,171.96 | ETA=3.4min
   78.5% | bar=109,746/139,666 | trades=1630 | equity=$4,127.09 | ETA=3.3min
   78.5% | bar=109,754/139,666 | trades=1630 | equity=$4,127.09 | ETA=3.3min
   78.5% | bar=109,758/139,666 | trades=1630 | equity=$4,127.09 | ETA=3.3min
   78.6% | bar=109,762/139,666 | trades=1630 | equity=$4,127.09 | ETA=3.3min
   78.6% | bar=109,766/139,666 | trades=1630 | equity=$4,127.09 | ETA=3.3min
   78.6% | bar=109,826/139,666 | trades=1630 | equity=$4,127.09 | ETA=3.3min
   79.0% | bar=110,330/139,666 | trades=1640 | equity=$4,057.04 | ETA=3.3min
   79.0% | bar=110,390/139,666 | trades=1640 | equity=$4,057.04 | ETA=3.3min
   79.0% | bar=110,394/139,666 | trades=1640 | equity=$4,057.04 | ETA=3.3min
   79.6% | bar=111,294/139,666 | trades=1650 | equity=$4,017.90 | ETA=3.2min
   80.0% | bar=111,846/139,666 | trades=1660 | equity=$4,070.37 | ETA=3.1min
   80.3% | bar=112,270/139,666 | trades=1670 | equity=$4,090.50 | ETA=3.1min
   80.4% | bar=112,274/139,666 | trades=1670 | equity=$4,090.50 | ETA=3.0min
   80.4% | bar=112,282/139,666 | trades=1670 | equity=$4,090.50 | ETA=3.0min
   80.9% | bar=113,090/139,666 | trades=1680 | equity=$4,107.04 | ETA=3.0min
   80.9% | bar=113,094/139,666 | trades=1680 | equity=$4,107.04 | ETA=3.0min
   80.9% | bar=113,098/139,666 | trades=1680 | equity=$4,107.04 | ETA=3.0min
   81.0% | bar=113,110/139,666 | trades=1680 | equity=$4,107.04 | ETA=2.9min
   81.3% | bar=113,594/139,666 | trades=1690 | equity=$4,119.13 | ETA=2.9min
   81.3% | bar=113,598/139,666 | trades=1690 | equity=$4,119.13 | ETA=2.9min
   81.3% | bar=113,602/139,666 | trades=1690 | equity=$4,119.13 | ETA=2.9min
   81.6% | bar=114,034/139,666 | trades=1700 | equity=$4,192.19 | ETA=2.8min
   81.6% | bar=114,038/139,666 | trades=1700 | equity=$4,192.19 | ETA=2.8min
   81.6% | bar=114,042/139,666 | trades=1700 | equity=$4,192.19 | ETA=2.8min
   81.6% | bar=114,054/139,666 | trades=1700 | equity=$4,192.19 | ETA=2.8min
   81.9% | bar=114,386/139,666 | trades=1710 | equity=$4,266.20 | ETA=2.8min
   82.3% | bar=115,002/139,666 | trades=1720 | equity=$4,259.49 | ETA=2.7min
   82.3% | bar=115,006/139,666 | trades=1720 | equity=$4,259.49 | ETA=2.7min
   82.6% | bar=115,378/139,666 | trades=1730 | equity=$4,251.29 | ETA=2.7min
   82.6% | bar=115,382/139,666 | trades=1730 | equity=$4,251.29 | ETA=2.7min
   82.6% | bar=115,386/139,666 | trades=1730 | equity=$4,251.29 | ETA=2.7min
   82.6% | bar=115,402/139,666 | trades=1730 | equity=$4,251.29 | ETA=2.7min
   82.6% | bar=115,466/139,666 | trades=1730 | equity=$4,251.29 | ETA=2.7min
   82.9% | bar=115,830/139,666 | trades=1740 | equity=$4,270.82 | ETA=2.7min
   82.9% | bar=115,834/139,666 | trades=1740 | equity=$4,270.82 | ETA=2.6min
   82.9% | bar=115,842/139,666 | trades=1740 | equity=$4,270.82 | ETA=2.6min
   82.9% | bar=115,862/139,666 | trades=1740 | equity=$4,270.82 | ETA=2.6min
   82.9% | bar=115,866/139,666 | trades=1740 | equity=$4,270.82 | ETA=2.6min
   83.0% | bar=115,922/139,666 | trades=1740 | equity=$4,270.82 | ETA=2.6min
   83.0% | bar=115,962/139,666 | trades=1740 | equity=$4,270.82 | ETA=2.6min
   83.0% | bar=115,966/139,666 | trades=1740 | equity=$4,270.82 | ETA=2.6min
   83.0% | bar=115,970/139,666 | trades=1740 | equity=$4,270.82 | ETA=2.6min
   83.0% | bar=115,978/139,666 | trades=1740 | equity=$4,270.82 | ETA=2.6min
   83.0% | bar=115,982/139,666 | trades=1740 | equity=$4,270.82 | ETA=2.6min
   83.0% | bar=115,994/139,666 | trades=1740 | equity=$4,270.82 | ETA=2.6min
   83.1% | bar=116,070/139,666 | trades=1740 | equity=$4,270.82 | ETA=2.6min
   83.4% | bar=116,498/139,666 | trades=1750 | equity=$4,350.52 | ETA=2.6min
   83.7% | bar=116,942/139,666 | trades=1760 | equity=$4,370.31 | ETA=2.5min
   84.2% | bar=117,618/139,666 | trades=1770 | equity=$4,356.08 | ETA=2.5min
   84.2% | bar=117,622/139,666 | trades=1770 | equity=$4,356.08 | ETA=2.5min
   84.2% | bar=117,650/139,666 | trades=1770 | equity=$4,356.08 | ETA=2.5min
   84.2% | bar=117,658/139,666 | trades=1770 | equity=$4,356.08 | ETA=2.5min
   84.6% | bar=118,238/139,666 | trades=1780 | equity=$4,372.05 | ETA=2.4min
   84.6% | bar=118,242/139,666 | trades=1780 | equity=$4,372.05 | ETA=2.4min
   84.6% | bar=118,246/139,666 | trades=1780 | equity=$4,372.05 | ETA=2.4min
   84.6% | bar=118,250/139,666 | trades=1780 | equity=$4,372.05 | ETA=2.4min
   84.9% | bar=118,566/139,666 | trades=1790 | equity=$4,420.83 | ETA=2.4min
   84.9% | bar=118,570/139,666 | trades=1790 | equity=$4,420.83 | ETA=2.4min
   84.9% | bar=118,602/139,666 | trades=1790 | equity=$4,420.83 | ETA=2.3min
   85.5% | bar=119,386/139,666 | trades=1800 | equity=$4,411.83 | ETA=2.3min
   85.5% | bar=119,410/139,666 | trades=1800 | equity=$4,411.83 | ETA=2.3min
   85.5% | bar=119,414/139,666 | trades=1800 | equity=$4,411.83 | ETA=2.3min
   85.5% | bar=119,418/139,666 | trades=1800 | equity=$4,411.83 | ETA=2.3min
   86.0% | bar=120,082/139,666 | trades=1810 | equity=$4,489.16 | ETA=2.2min
   86.0% | bar=120,086/139,666 | trades=1810 | equity=$4,489.16 | ETA=2.2min
   86.0% | bar=120,090/139,666 | trades=1810 | equity=$4,489.16 | ETA=2.2min
   86.0% | bar=120,094/139,666 | trades=1810 | equity=$4,489.16 | ETA=2.2min
   86.2% | bar=120,486/139,666 | trades=1820 | equity=$4,450.97 | ETA=2.1min
   86.2% | bar=120,490/139,666 | trades=1820 | equity=$4,450.97 | ETA=2.1min
   86.2% | bar=120,494/139,666 | trades=1820 | equity=$4,450.97 | ETA=2.1min
   86.3% | bar=120,502/139,666 | trades=1820 | equity=$4,450.97 | ETA=2.1min
   86.3% | bar=120,514/139,666 | trades=1820 | equity=$4,450.97 | ETA=2.1min
   86.3% | bar=120,518/139,666 | trades=1820 | equity=$4,450.97 | ETA=2.1min
   86.3% | bar=120,530/139,666 | trades=1820 | equity=$4,450.97 | ETA=2.1min
   87.0% | bar=121,482/139,666 | trades=1830 | equity=$4,435.12 | ETA=2.0min
   87.2% | bar=121,806/139,666 | trades=1840 | equity=$4,484.68 | ETA=2.0min
   87.2% | bar=121,810/139,666 | trades=1840 | equity=$4,484.68 | ETA=2.0min
   87.2% | bar=121,814/139,666 | trades=1840 | equity=$4,484.68 | ETA=2.0min
   87.5% | bar=122,178/139,666 | trades=1850 | equity=$4,531.36 | ETA=2.0min
   87.5% | bar=122,186/139,666 | trades=1850 | equity=$4,531.36 | ETA=2.0min
   87.5% | bar=122,190/139,666 | trades=1850 | equity=$4,531.36 | ETA=2.0min
   87.8% | bar=122,714/139,666 | trades=1860 | equity=$4,576.53 | ETA=1.9min
   88.2% | bar=123,154/139,666 | trades=1870 | equity=$4,652.83 | ETA=1.8min
   88.2% | bar=123,158/139,666 | trades=1870 | equity=$4,652.83 | ETA=1.8min
   88.2% | bar=123,162/139,666 | trades=1870 | equity=$4,652.83 | ETA=1.8min
   88.7% | bar=123,870/139,666 | trades=1880 | equity=$4,701.39 | ETA=1.8min
   88.7% | bar=123,890/139,666 | trades=1880 | equity=$4,701.39 | ETA=1.8min
   88.7% | bar=123,938/139,666 | trades=1880 | equity=$4,701.39 | ETA=1.8min
   89.2% | bar=124,638/139,666 | trades=1890 | equity=$4,774.11 | ETA=1.7min
   89.2% | bar=124,642/139,666 | trades=1890 | equity=$4,774.11 | ETA=1.7min
   89.2% | bar=124,646/139,666 | trades=1890 | equity=$4,774.11 | ETA=1.7min
   89.5% | bar=124,982/139,666 | trades=1900 | equity=$4,766.01 | ETA=1.6min
   89.5% | bar=124,986/139,666 | trades=1900 | equity=$4,766.01 | ETA=1.6min
   89.5% | bar=124,998/139,666 | trades=1900 | equity=$4,766.01 | ETA=1.6min
   89.5% | bar=125,002/139,666 | trades=1900 | equity=$4,766.01 | ETA=1.6min
   89.5% | bar=125,006/139,666 | trades=1900 | equity=$4,766.01 | ETA=1.6min
   89.5% | bar=125,010/139,666 | trades=1900 | equity=$4,766.01 | ETA=1.6min
   89.8% | bar=125,494/139,666 | trades=1910 | equity=$4,755.14 | ETA=1.6min
   89.8% | bar=125,502/139,666 | trades=1910 | equity=$4,755.14 | ETA=1.6min
   90.2% | bar=126,026/139,666 | trades=1920 | equity=$4,713.02 | ETA=1.5min
   90.7% | bar=126,642/139,666 | trades=1930 | equity=$4,793.26 | ETA=1.5min
   90.7% | bar=126,650/139,666 | trades=1930 | equity=$4,793.26 | ETA=1.5min
   90.7% | bar=126,682/139,666 | trades=1930 | equity=$4,793.26 | ETA=1.5min
   90.7% | bar=126,686/139,666 | trades=1930 | equity=$4,793.26 | ETA=1.5min
   91.0% | bar=127,050/139,666 | trades=1940 | equity=$4,869.66 | ETA=1.4min
   91.2% | bar=127,442/139,666 | trades=1950 | equity=$4,915.34 | ETA=1.4min
   91.2% | bar=127,446/139,666 | trades=1950 | equity=$4,915.34 | ETA=1.4min
   91.5% | bar=127,838/139,666 | trades=1960 | equity=$4,992.65 | ETA=1.3min
   91.5% | bar=127,850/139,666 | trades=1960 | equity=$4,992.65 | ETA=1.3min
   91.5% | bar=127,862/139,666 | trades=1960 | equity=$4,992.65 | ETA=1.3min
   91.5% | bar=127,866/139,666 | trades=1960 | equity=$4,992.65 | ETA=1.3min
   91.5% | bar=127,874/139,666 | trades=1960 | equity=$4,992.65 | ETA=1.3min
   91.5% | bar=127,878/139,666 | trades=1960 | equity=$4,992.65 | ETA=1.3min
   91.5% | bar=127,882/139,666 | trades=1960 | equity=$4,992.65 | ETA=1.3min
   91.6% | bar=127,886/139,666 | trades=1960 | equity=$4,992.65 | ETA=1.3min
   91.9% | bar=128,354/139,666 | trades=1970 | equity=$4,952.62 | ETA=1.3min
   91.9% | bar=128,358/139,666 | trades=1970 | equity=$4,952.62 | ETA=1.3min
   91.9% | bar=128,370/139,666 | trades=1970 | equity=$4,952.62 | ETA=1.3min
   91.9% | bar=128,374/139,666 | trades=1970 | equity=$4,952.62 | ETA=1.3min
   91.9% | bar=128,378/139,666 | trades=1970 | equity=$4,952.62 | ETA=1.3min
   91.9% | bar=128,382/139,666 | trades=1970 | equity=$4,952.62 | ETA=1.3min
   92.4% | bar=129,022/139,666 | trades=1980 | equity=$4,967.65 | ETA=1.2min
   92.4% | bar=129,026/139,666 | trades=1980 | equity=$4,967.65 | ETA=1.2min
   92.4% | bar=129,030/139,666 | trades=1980 | equity=$4,967.65 | ETA=1.2min
   92.4% | bar=129,034/139,666 | trades=1980 | equity=$4,967.65 | ETA=1.2min
   92.4% | bar=129,046/139,666 | trades=1980 | equity=$4,967.65 | ETA=1.2min
   92.4% | bar=129,050/139,666 | trades=1980 | equity=$4,967.65 | ETA=1.2min
   92.4% | bar=129,054/139,666 | trades=1980 | equity=$4,967.65 | ETA=1.2min
   92.4% | bar=129,074/139,666 | trades=1980 | equity=$4,967.65 | ETA=1.2min
   92.4% | bar=129,098/139,666 | trades=1980 | equity=$4,967.65 | ETA=1.2min
   92.4% | bar=129,106/139,666 | trades=1980 | equity=$4,967.65 | ETA=1.2min
   92.4% | bar=129,134/139,666 | trades=1980 | equity=$4,967.65 | ETA=1.2min
   92.8% | bar=129,658/139,666 | trades=1990 | equity=$4,977.66 | ETA=1.1min
   92.8% | bar=129,662/139,666 | trades=1990 | equity=$4,977.66 | ETA=1.1min
   92.8% | bar=129,666/139,666 | trades=1990 | equity=$4,977.66 | ETA=1.1min
   92.8% | bar=129,670/139,666 | trades=1990 | equity=$4,977.66 | ETA=1.1min
   92.9% | bar=129,702/139,666 | trades=1990 | equity=$4,977.66 | ETA=1.1min
   92.9% | bar=129,710/139,666 | trades=1990 | equity=$4,977.66 | ETA=1.1min
   93.2% | bar=130,226/139,666 | trades=2000 | equity=$4,996.99 | ETA=1.1min
   93.6% | bar=130,778/139,666 | trades=2010 | equity=$5,046.03 | ETA=1.0min
   93.6% | bar=130,782/139,666 | trades=2010 | equity=$5,046.03 | ETA=1.0min
   93.6% | bar=130,786/139,666 | trades=2010 | equity=$5,046.03 | ETA=1.0min
   93.6% | bar=130,790/139,666 | trades=2010 | equity=$5,046.03 | ETA=1.0min
   94.0% | bar=131,286/139,666 | trades=2020 | equity=$5,058.18 | ETA=0.9min
   94.3% | bar=131,778/139,666 | trades=2030 | equity=$5,100.76 | ETA=0.9min
   94.8% | bar=132,374/139,666 | trades=2040 | equity=$5,175.60 | ETA=0.8min
   95.3% | bar=133,074/139,666 | trades=2050 | equity=$5,076.17 | ETA=0.7min
   95.3% | bar=133,078/139,666 | trades=2050 | equity=$5,076.17 | ETA=0.7min
   95.3% | bar=133,082/139,666 | trades=2050 | equity=$5,076.17 | ETA=0.7min
   95.3% | bar=133,086/139,666 | trades=2050 | equity=$5,076.17 | ETA=0.7min
   95.3% | bar=133,130/139,666 | trades=2050 | equity=$5,076.17 | ETA=0.7min
   95.7% | bar=133,726/139,666 | trades=2060 | equity=$5,116.29 | ETA=0.7min
